Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2010,Mayor,RCV,10,Arnold Fields,M,n/a,https://oaklandnorth.net/2010/10/26/small_business_owner_aims_for_top_oakland_job/,N,0.61,,n/a,,,,,,,,,,,,,,
2010,School Director D2,RCV,1,David Kakishiba,M,Asian,http://bex.ousd.k12.ca.us/DavidKakishiba.asp,Y,97.72,,Photo- see H,,,,,,,,,,,,,,
2010,School Director D4,RCV,2,Gary D. Yee,M,Asian,http://bex.ousd.k12.ca.us/GaryYee.asp,Y,68.65,,Photo- see H,,,,,,,,,,,,,,
2010,School Director D4,RCV,2,Benjamin Visnick,M,n/a,https://vimeo.com/15916594,N,30.54,,n/a,,,,,,,,,,,,,,
2010,School Director D6,RCV,1,Christopher Dobbins,M,n/a,http://www.sfgate.com/bayarea/article/Oakland-school-board-censures-Dobbins-and-urges-2508334.php,Y,97.47,,n/a,,,,,,,,,,,,,,
2008,City Attorney,Non-Partisan Primary,1,John Russo,M,n/a,http://www.insidebayarea.com/top-stories/ci_17476911,Y,98.12,,n/a,,,,,,,,,,,,,,
2008,City Council At Large,Top 2 General,5,Rebecca Kaplan,F,n/a,,Y,40.27,62.07,,,,,,,,,,,,,,,
2008,City Council At Large,Top 2 General,5,Kerry Hamill,F,n/a,http://hamillforcitycouncil.typepad.com/hamill_for_city_council/files/democrats_for_change_obama_and_hamill.pdf,N,21.8,37,n/a,,,,,,,,,,,,,,
2008,City Council At Large,Non-Partisan Primary,5,Clinton Killian,M,n/a,,N,19.11,,,,,,,,,,,,,,,,
2008,City Council At Large,Non-Partisan Primary,5,Frank Rose,M,African American,https://localwiki.org/oakland/Frank_Rose,N,10.85,,Video- see H,,,,,,,,,,,,,,
2008,City Council At Large,Non-Partisan Primary,5,Charles Pine,M,n/a,https://www.youtube.com/watch?v=PWdi5ewwaLc,N,7.5,,n/a,,,,,,,,,,,,,,
2008,City Council D1,Non-Partisan Primary,2,Jane Brunner,F,n/a,,Y,72.65,,,,,,,,,,,,,,,,
2008,City Council D1,Non-Partisan Primary,2,Patrick McCullough,M,African American,https://localwiki.org/oakland/Patrick_McCullough,N,27.06,,Video- see H,,,,,,,,,,,,,,
2008,City Council D3,Non-Partisan Primary,3,Nancy Nadel,F,n/a,https://localwiki.org/oakland/Nancy_Nadel,Y,51.3,,n/a,,,,,,,,,,,,,,
2008,City Council D3,Non-Partisan Primary,3,Sean Sullivan,M,n/a,,N,27.09,,,,,,,,,,,,,,,,
2008,City Council D3,Non-Partisan Primary,3,Gregory Hodge,M,African American,http://www.sfgate.com/education/article/PROFILE-Greg-Hodge-Test-of-a-lifetime-2663550.php,N,21.04,,Photo- see H,,,,,,,,,,,,,,
2008,City Council D5,Non-Partisan Primary,4,Ignacio De La Fuente,M,Latino,,Y,53.79,,,,,,,,,,,,,,,,
2008,City Council D5,Non-Partisan Primary,4,Mario Juarez,M,Latino,http://sanfrancisco.cbslocal.com/2012/09/26/oakland-city-council-candidate-scrutinized-over-real-estate-deals/,N,33.19,,Photo and Surname- see H,,,,,,,,,,,,,,
2008,City Council D5,Non-Partisan Primary,4,Beverly Blythe,F,African American,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,N,7.37,,Photo- See H,,,,,,,,,,,,,,
2008,City Council D5,Non-Partisan Primary,4,David Wofford,M,African American,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,N,5.33,,Photo- See H,,,,,,,,,,,,,,
2008,City Council D7,Non-Partisan Primary,2,Larry E. Reid,M,African American,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,Y,62.44,,Photo- See H,,,,,,,,,,,,,,
2008,City Council D7,Non-Partisan Primary,2,Clifford Gilmore,M,African American,http://www.lwvoakland.org/files/oakland_evg_june_2008_eng.pdf,N,37,,Photo- See H,,,,,,,,,,,,,,
